projectID,Llama'd?,Ticker,Name,Website,Primary Chain,Chain,Contracts,Category,Asset Class,Type,Issuer,Issuer Source Link,Issuer Registry Info,Redeemable,Attestations,CEX Listed,KYC,Transferable,Self Custody,Token Status/Potential Airdrop?,Notes,Claimed TVL,On-chain TVL,Active TVL,DeFi Active TVL,Derivatives,RWA Classification,Access Model,Coingecko ID,Coinmarketcap ID,Pool ID,Twitter,Holders to be Removed from Active TVL,ISIN
x,✓,CANA,CANA Holdings California Carbon Credits,https://cana.earth,ethereum,ethereum,ethereum:0x01995A697752266d8E748738aAa3F06464B8350B,Carbon Credits & Environmental Assets,Carbon allowance,Asset,CANA Holdings,https://cana.earth,,✓,x,✓,x,✓,✓,x,"CANA is a tokenized representation of California Carbon Allowances (CCAs) issued by CANA Holdings; each CANA token provides on-chain price exposure to a 1:1 backing of regulated California cap-and-trade carbon credits held off-chain, with mint and redeem mechanics governed by CANA smart contracts and policies.",x,x,x,x,x,Real RWA,Permissionless,,,fda10983-9dcd-49e9-9332-b227dc244d5d;dde4e536-0f20-4a73-b9b4-42ec2e24dc2b,https://x.com/defimaseer,,
x,✓,ATT,AgaTobwe Token bond,https://frigg.eco ;  https://www.agatobwe.eco/,ethereum,ethereum,ethereum:0x90D53b872ce6421122B41a290aCdD22a5eD931bd,RWA Lending / Private Credit;Carbon Credits & Environmental Assets,Specialty / structured credit,Platform,Agatobwe Hydro Power Ltd (via Frigg.eco),https://content.frigg.eco/assets/att-resolution-issuance-signed.pdf,"Agatobwe Hydro Power Limited – Rwandan company no. 106851732 (Gasabo District, Kigali), per ATT bond resolution.",✓,x,x,✓,x,✓,x,"ATT (Agatobwe Token Bond) is a tokenized bond issued via Frigg.eco to finance the Agatobwe hydropower project; it is structured as a ledger-based security under Swiss law, with on-chain tokens representing claims on bond principal and interest according to the offering terms rather than a freely redeemable stablecoin.",x,x,x,x,x,Programmable Finance,Permissioned,,,da4507f9-1daf-4442-a9a0-e2fdebfcc9bd,https://x.com/FriggEco,,
x,✓,KLIMA,KlimaDAO (KLIMA carbon-backed reserve asset),https://www.klimadao.finance,polygon,polygon; base,polygon:0x4e78011Ce80ee02d2c3e649Fb657E45898257815 base:0xDCEFd8C8fCc492630B943ABcaB3429F12Ea9Fea2 << These are old addresses,Governance & Protocol Tokens;Carbon Credits & Environmental Assets,Governance / voting token (RWA protocol);Carbon-backed reserve asset,Asset,Klima Foundation,https://www.klimafoundation.com/klimadao,"Non-profit foundation based in Zug, Switzerland; address Dammstrasse 16, 6300 Zug, Switzerland; Klima Foundation stewards KlimaDAO and Klima Protocol ecosystem.",x,x,x,x,✓,✓,x,"KLIMA is the governance and reserve asset of KlimaDAO; it gives holders on-chain exposure to a treasury of tokenized carbon credits and protocol-controlled assets, and is used for governance and policy decisions, but is not a directly redeemable claim on specific underlying carbon credits.",x,x,x,x,sKLIMA:polygon:0xb0C22d8D350C67420f06F48936654F567C73E8C8; wsKLIMA:polygon:0x6f370dba99E32A3cAD959b341120DB3C9E280bA6,Programmable Finance,Permissionless,klima-dao,,6ce6646c-c1e4-49fc-8dc6-458519e9881d;ca95ba5d-c0f0-4eed-bcb4-9c2fdc6f32d9,https://x.com/KlimaDAO,,
x,x,MCO2,Moss Carbon Credit (MCO2),https://mco2token.moss.earth,ethereum,ethereum,ethereum:0xfC98e825A2264D890F9A1e68ED50E1526abCcacD,Carbon Credits & Environmental Assets,Carbon offset credit,Asset,MOSS EARTH S.A.,https://mco2token.moss.earth,"MOSS EARTH S.A. – Brazilian company registered under CNPJ 50.209.692/0001-50; headquartered in Montevideo (Uruguay) and classified as an 'Empresa Domiciliada no Exterior' in the Brazilian corporate taxpayer registry, active since 04/04/2023.",✓,x,✓,x,✓,✓,x,"Issuer is MOSS EARTH S.A., Brazilian CNPJ 50.209.692/0001-50 (Moss Earth carbon-credit platform operator). | MCO2 is an ERC-20 token where each unit represents one metric ton of verified voluntary carbon credits (primarily Verra-registered Amazon conservation projects) that can be retired or used via Moss's platform to offset emissions.",x,x,x,x,x,Real RWA,Permissionless,moss-carbon-credit,,,https://x.com/moss_earth,,
x,✓,CRISP-M,CRISP Scored Mangroves,https://solidworld.io,polygon,polygon,polygon:0xEF6Ab48ef8dFe984FAB0d5c4cD6AFF2E54dfdA14 CrispC polygon:0x672688C6Ee3E750dfaA4874743Ef693A6f2538ED,Carbon Credits & Environmental Assets,Carbon offset credit,Asset,MTÜ Solid World,https://www.inforegister.ee/en/80612616-SOLID-WORLD-MTU,Estonian non-profit association “MTÜ Solid World”; registry code 80612616; VAT EE102511015; LEI 9845006A65E7C133DY29.,✓,x,x,x,✓,x,x,"CRISP-M is Solid World's 'CRISP Scored Mangroves' token: each CRISP-M reflects one ton of forward-sold mangrove restoration carbon credits, backed by vetted forward contracts under the CRISP framework and redeemable within the Solid World pools for underlying credits at maturity.",x,x,x,x,x,Programmable Finance,Permissioned,,,,https://x.com/solidworldhq,,
x,✓,BCT,Toucan Base Carbon Tonne (BCT),https://toucan.earth,polygon,polygon,polygon:0x2f800Db0fdb5223b3C3f354886d907A671414A7f,Carbon Credits & Environmental Assets,Carbon offset credit,Asset,Toucan Protocol Association,https://toucan.earth/legal/disclaimers,"Swiss association “Toucan Protocol Association”, Canton of Zug; enterprise ID CHE-381.295.616 (Swiss commercial register).",✓,x,x,x,✓,✓,x,BCT is Toucan's Base Carbon Tonne pool token: an ERC-20 carbon reference token on Polygon backed 1:1 by TCO2 tokens representing retired Verra/Puro carbon credits; holders can redeem BCT for specific TCO2 tokens or retire it on-chain to offset emissions.,x,x,x,x,x,Real RWA,Permissionless,toucan-protocol-base-carbon-tonne,,3d2867c5-91b8-4bf9-86f7-b9b5ab063002;12396796-a41b-4da4-9de1-12a7fc771fba,https://x.com/ToucanProtocol,,
x,✓,NCT,Toucan Nature Carbon Tonne (NCT),https://toucan.earth,polygon,polygon,polygon:0xd838290e877E0188a4A44700463419ED96c16107,Carbon Credits & Environmental Assets,Carbon offset credit,Asset,Toucan Protocol Association,https://toucan.earth/legal/disclaimers,"Swiss association “Toucan Protocol Association”, Canton of Zug; enterprise ID CHE-381.295.616 (Swiss commercial register).",✓,x,x,x,✓,✓,x,"NCT is Toucan's Nature Carbon Tonne pool token: a carbon reference token backed 1:1 by nature-based TCO2 carbon tokens (e.g., reforestation and conservation projects) that meet stricter gating criteria, redeemable for TCO2 and retirable on-chain.",x,x,x,x,x,Real RWA,Permissionless,toucan-protocol-nature-carbon-tonne,,64b3bc15-50e6-4a56-bed1-7145bce162b8;31ea2566-a51d-44fa-909e-56309ca7173d;3bb5f2a9-2a69-485d-820f-daccf914bb3a;fa5e8e68-89c9-4b18-acba-4438ede5f44c;175d514f-ae4e-4682-9555-571c9a7c712f,https://x.com/ToucanProtocol,,
x,✓,TCO2,Toucan Carbon Reference Tokens (TCO2),https://toucan.earth,polygon,polygon,x,Carbon Credits & Environmental Assets,Carbon offset credit,Asset,Toucan Protocol Association,https://toucan.earth/legal/disclaimers,"Swiss association “Toucan Protocol Association”, Canton of Zug; enterprise ID CHE-381.295.616 (Swiss commercial register).",x,x,x,x,✓,✓,x,TCO2 tokens are Toucan's tokenized carbon credits: each ERC-20 TCO2 represents one verified carbon credit bridged from registries such as Verra or Puro via the Toucan Carbon Bridge and carries the underlying project's metadata; they are the final offsetting instrument that can be retired on-chain.,x,x,x,x,x,Programmable Finance,Permissionless,,,,https://x.com/ToucanProtocol,,
x,x,EUROC,"Circle Euro Coin (EUROC, Ethereum)",https://www.circle.com/euroc,ethereum,ethereum; avax; base,ethereum:0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c; avalanche:0xC891EB4cbdEFf6e073e859e987815Ed1505c2ACD; base:0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,Fiat-Backed Stablecoins,EUR fiat stablecoin,Asset,"Circle Internet Financial, LLC",https://www.lei-lookup.com/record/549300UHJLR6LBGAFV55,"Circle Internet Financial, LLC – LEI 549300UHJLR6LBGAFV55; Delaware Division of Corporations registration authority entity ID 5381921; NYDFS virtual currency license holder.",✓,✓,x,✓,✓,✓,x,"EUROC is Circle's euro-denominated stablecoin on Ethereum (now branded EURC on newer networks): an ERC-20 token redeemable 1:1 for euros held in segregated bank accounts, with reserves disclosed and attested by independent auditors and listings on centralized exchanges such as Coinbase and Bitstamp.",x,x,x,x,x,Real RWA,Permissionless,euro-coin,,170db696-4634-4d6b-94b8-db6608776577;674cd21d-9b95-44b5-9b1e-e2b3e63236bb;498b3203-4c25-409c-a69a-0cf35ad67a9e,https://x.com/circle,,
x,x,EURC,"Circle Euro Coin (EURC, Solana)",https://www.circle.com/euroc,solana,solana,solana:HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,Fiat-Backed Stablecoins,EUR fiat stablecoin,Asset,"Circle Internet Financial, LLC",https://www.lei-lookup.com/record/549300UHJLR6LBGAFV55,"Circle Internet Financial, LLC – LEI 549300UHJLR6LBGAFV55; Delaware Division of Corporations registration authority entity ID 5381921; NYDFS virtual currency license holder.",✓,✓,x,✓,✓,✓,x,"EURC is Circle's multi-chain euro stablecoin (including Solana, Base and Ethereum), redeemable 1:1 for euros held in euro-denominated bank accounts with reserve breakdowns and attestations published by Circle; EURC trades on major centralized exchanges such as Coinbase, Bitstamp and Kraken.",x,x,x,x,x,Real RWA,Permissionless,euro-coin,,bdcf8682-1d72-42a7-b23e-f56d666dd10e;6652ed18-d327-46cd-9bac-08e0e14ea715;f65db5cc-0841-4392-8db1-45fd27ace295;18e2bbf0-f05f-4802-8e1e-d0ec4ab9a4d0;49be49fe-962e-40b8-83d7-9d03830f9b4b;68ebb322-e83a-45b3-8cea-edd62cd1467b;9ec8eb36-332d-47d4-8d32-ee7574037e60;190580f0-8121-4744-945b-6a5c04e09795;6da0372c-8e39-40db-acde-e35090862457;3a61420f-6f6e-45f9-accc-8d23f5a32d33;dff02323-8ffe-46f5-8366-20da817851c5;9a2f1f81-0a6e-441d-8219-c13b3520bd57;e10f4461-e87f-449e-937d-08b336e8a61f;a1bdfd8d-a712-4599-bdae-cf3a87eee414;256aa6df-4bc4-4db1-82e9-4f0de9438d0d;18decd51-17b0-47a4-819a-9233fa6c749b;ae297398-afc4-4823-a6e2-2a4b836c290f;3e555b30-9197-47fd-bc46-e9caa944bbcc;d43360f6-4c7b-4d9d-8ce0-1d8695eef301;c21fa81a-c806-4afa-ba8c-8ecf47583561;847c874f-d4e7-47ed-8870-97d2f24a8767;50d4da89-05ad-43f8-9a15-2d6e77a40ba6;994a6438-8611-4c5f-84c0-939330dfbdb0;c6eb4755-3f26-4999-a2a3-5cffc9177eff;aa1a6650-85c3-4bfd-ad21-87b4d3d59324;3e7ddd54-546c-4190-bf55-c0cdabbcdb62;2d456507-7b1d-43c1-9737-b26525c541c5;dcd12f85-bb70-41a5-b862-29a7e25fc055;209767d1-1e76-4d5c-a824-7b6bb9008bb3;14810661-c78a-4b93-a025-8a97bced6efc;e870ed3a-5552-4ed8-b5f3-1ca43dd9caef;4c6728fb-173a-43c5-9916-1d7cb0871173;c61c0024-bf8b-43f5-b530-1a4791c49b49;f5def6f6-d085-4a59-9c15-c57050298aee;7f64cdf7-2afe-422b-aaba-a55d4dc8570d;e360745b-cd16-449d-99f7-600c929ef589;922cb147-f108-4e14-ab98-d741c2d7c1cc;029a937c-e966-47a1-9af0-e3712a2d07eb;737cf6dc-9bf1-4191-b56c-b83299e5448a;b478263c-fbae-4798-af91-21912cf4493f;7ed24375-e623-4c3a-82fa-7dfbca2f9408;644116f0-2756-4d02-927f-04adc47ffdcd;cf702a07-5c17-4cd2-9b6a-e11bf2878115;bbd2cdd4-1525-4456-826e-ca8d02f49f63;f0921715-6a4a-4a68-906f-5835bebdbd3c;f11b2653-e055-4dc7-8062-ba64bc7e1b49;892fe424-40f6-4a7d-9488-fc74af888153;64ada3ee-3136-4953-9a5f-efb1c6867ebc;858f67ef-55e5-4dbb-ac8f-fb6f9c9d808e;f5e99b69-7280-45c6-baed-2aab496a4a04;29b739e4-5e90-40c3-9fe8-31f67a6be60c;7127f513-f741-4855-958f-6f4a36ca9d55;f0c8724f-da77-4cb3-9c33-d989ec6253b2;081fd175-6c3e-4f71-9ec3-7a58426bd218;d1c071b2-3198-42a6-9208-bb4c85412e33;7a6fde34-519d-4dd5-956c-bdaec0931671;fd27edfd-556a-4496-9759-80f7312363ea;89921048-1e6b-477b-9ada-8c3654ed88ed;4eece236-51f4-4e24-850f-3399ee354595;b96379be-c744-44b5-9c0c-6d6ee4f79e1e;dc6cdd0d-d52e-4a14-aaed-16b0447b157a;84ead343-50cc-4bea-92e1-b5a51dec553c;8a152985-c21f-4729-88dc-f18a62d9cc86;e98be7f1-8d9e-4bf7-8a37-fafcd67d623d;03c97161-1e04-413c-aff7-cda8417ea91a,https://x.com/circle,,
